lemma,normalized_lemma,part_of_speech,sense_position,definition,tags,polish_translations,cefr,wordnet_synsets,frequency_rank
elephant,elephant,noun,5,"A xiangqi piece that is moved two points diagonally, may not jump over intervening pieces and may not cross the river.",countable|uncountable,,cefr_j:A2,,
Pope Julius,pope julius,noun,0,A sixteenth-century gambling card game about which little is known.,obsolete,,,,
GNU FDL,gnu fdl,noun,0,Partial initialism of GNU Free Documentation License.,,,,,
brown,brown,noun,0,A colour like that of chocolate or coffee.,countable|uncountable,brąz,cefr_j:A2,,1913
brown,brown,noun,1,"One of the colour balls used in snooker, with a value of 4 points.",countable,,cefr_j:A2,,1913
brown,brown,noun,2,Black tar heroin.,uncountable,,cefr_j:A2,,1913
brown,brown,noun,3,A copper coin.,archaic|countable|slang,,cefr_j:A2,,1913
brown,brown,noun,4,A brown horse or other animal.,countable|uncountable,,cefr_j:A2,,1913
brown,brown,noun,5,"A person of mostly Latin American (or Latino), Middle Eastern/North African, South Asian, and sometimes Southeast Asian, Pacific Islander, or rarely Native American descent; a brown-skinned person; someone of mulatto, or biracial appearance.",capitalized|countable|ethnic|informal|slur|sometimes,,cefr_j:A2,,1913
brown,brown,noun,6,"Any of various nymphalid butterflies of subfamily Satyrinae (formerly the family Satyridae), such as those of the genera Heteronympha and Melanitis.",countable|uncountable,,cefr_j:A2,,1913
brown,brown,noun,7,A brown trout (Salmo trutta).,countable|informal|uncountable,,cefr_j:A2,,1913
